Country,GDP_per_Capita
Africa Eastern and Southern,1615.39635562849
Africa Western and Central,1411.33702938476
Arab World,7583.81170078145
Caribbean small states,19903.8112311908
Central Europe and the Baltics,24604.8068595604
Early-demographic dividend,4450.18711937385
East Asia & Pacific,13405.735673015
East Asia & Pacific (excluding high income),10396.7957405051
East Asia & Pacific (IDA & IBRD countries),10513.9529323033
Euro area,46945.4188234427
Europe & Central Asia,31555.5207890657
Europe & Central Asia (excluding high income),9793.69205809432
Europe & Central Asia (IDA & IBRD countries),13337.4386956337
European Union,43304.9642561331
Fragile and conflict affected situations,1527.95809514037
Heavily indebted poor countries (HIPC),1216.37508472564
High income,50302.6052129513
IBRD only,8219.91265703844
IDA & IBRD total,6327.14399704869
IDA blend,1650.63788113049
IDA only,1398.11181264033
IDA total,1485.92227405633
Late-demographic dividend,12874.1679137972
Latin America & Caribbean,10737.6463538652
Latin America & Caribbean (excluding high income),10382.3911125152
Latin America & the Caribbean (IDA & IBRD countries),10474.2809944408
Least developed countries: UN classification,1293.40100322932
Low & middle income,6002.45120765259
Low income,751.322764042233
Lower middle income,2544.49245457752
"Middle East, North Africa, Afghanistan & Pakistan",6265.44445247452
"Middle East, North Africa, Afghanistan & Pakistan (excluding high income)",2971.05462651558
"Middle East, North Africa, Afghanistan & Pakistan (IDA & IBRD)",2973.77496155262
Middle income,6554.37054933497
North America,81275.8436781762
OECD members,48322.164420487
Other small states,16094.1266173126
Pacific island small states,4453.58561280276
Post-demographic dividend,55644.314789934
Pre-demographic dividend,1366.06577255622
Small states,15383.3425638674
South Asia,2690.07883749003
South Asia (IDA & IBRD),2690.07883749003
Sub-Saharan Africa,1532.92763550207
Sub-Saharan Africa (excluding high income),1576.69166875191
Sub-Saharan Africa (IDA & IBRD countries),1532.92763550207
Upper middle income,10996.101696107
World,13631.2043097215
Afghanistan,413.757894705303
Albania,11377.7757431099
Algeria,5752.99076651465
American Samoa,18017.4589383973
Andorra,49303.6491674336
Angola,2665.87444776753
Antigua and Barbuda,23542.4526945578
Argentina,13969.7836603737
Armenia,8556.21406956719
Aruba,39498.5941293797
Australia,64603.9856308464
Austria,58268.8787651601
Azerbaijan,7283.8499076179
"Bahamas, The",39455.4466548546
Bahrain,29653.5682731534
Bangladesh,2593.41611680774
Barbados,26544.8707282621
Belarus,8317.63399913792
Belgium,56614.5679499036
